City,Latitude,Temperature,Humidity,Cloudiness,Wind Speed
ikalamavony,-21.17,56.16,82,0,4.61
maniitsoq,65.42,44.91,95,24,5.95
dalby,-27.18,41,93,92,4.7
wattegama,7.35,71.64,93,92,3.94
kathu,-27.7,46.89,44,0,13.11
poli,8.48,75.87,88,36,2.59
gawler,-34.6,51.8,76,75,6.93
yunhe,28.12,73.26,96,68,2.04
kijang,35.24,78.8,94,75,9.17
petauke,-14.25,72.99,28,20,8.41
saucillo,28.03,88.47,31,0,5.95
north bend,43.41,62.69,70,40,13.87
bandarbeyla,9.49,76.95,84,0,34.92
acajutla,13.59,89.6,55,20,4.7
chunskiy,56.08,62.64,70,0,5.17
kangaatsiaq,68.31,41.85,100,8,16.13
solnechnyy,50.72,56.16,93,56,4.05
rio gallegos,-51.62,44.6,93,90,3.36
bambanglipuro,-7.95,64.26,98,0,2.15
san luis,-33.3,79.47,14,0,14.45
gangarampur,25.41,79.74,95,80,5.06
beisfjord,68.38,50,66,40,24.16
polson,47.69,57.24,52,68,3.15
faanui,-16.48,79.2,100,20,13.22
chaman,30.92,57.06,39,0,1.48
sioux lookout,50.1,65.14,59,90,5.82
sexsmith,55.35,55.4,71,75,13.87
toktogul,41.87,50.22,49,80,1.14
sembakung,3.82,75.33,96,24,2.71
yorkton,51.21,60.8,55,20,9.17
gejiu,23.36,58.23,97,32,2.04
juneau,58.3,57.58,86,75,4.7
verkhnyaya inta,65.99,46.8,91,0,2.15
santa cruz del sur,20.71,86.22,94,44,10.76
corbu,44.41,71.6,78,0,4.7
rocha,-34.48,59.22,59,0,13.67
pendleton,34.65,85.33,51,1,3.36
knysna,-34.04,44.6,65,0,8.05
gornopravdinsk,60.06,57.51,78,8,8.08
zonguldak,41.25,74.61,88,92,3.15
ekhabi,53.51,58.05,88,92,9.64
vanimo,-2.67,81.09,100,48,2.04
talaya,55.79,50.58,86,12,1.92
namatanai,-3.66,78.84,100,56,7.4
nizwa,22.93,83.61,20,44,4.38
mugan,35.94,51.57,100,92,2.37
las vegas,36.17,95.97,15,1,18.34
fare,-16.7,78.66,100,12,11.43
miraflores,5.2,66.6,51,0,2.59
sanmenxia,34.77,64.35,81,0,3.04
bulle,46.61,61.36,39,24,1.12
santiago del estero,-27.8,76.95,22,0,15.12
ambato,-1.24,60.8,59,75,20.8
belomorsk,64.52,56.79,92,76,5.5
waitara,-39.0,50.94,99,92,7.52
meadow lake,54.13,53.6,87,90,5.61
kununurra,-15.77,55.4,82,0,3.36
kabanjahe,3.1,77,88,40,4.7
luxor,25.7,88.47,25,0,11.1
saint-francois,46.42,66.2,32,0,1.12
preeceville,51.95,57.69,73,80,5.39
ambilobe,-13.19,73.89,58,0,9.42
kambove,-10.88,65.16,39,0,4.72
weiser,44.25,69.98,39,1,3.36
vardo,39.62,84.06,55,20,9.17
mareeba,-16.99,66.2,88,40,11.41
kattivakkam,13.22,86,70,75,6.93
tokonou,9.65,73.8,88,88,6.4
lufilufi,-13.87,81.36,100,64,11.1
lamu,0.57,71.28,100,80,0.69
ahuimanu,21.44,77.92,74,90,13.87
fort nelson,58.81,51.8,93,90,9.17
burnie,-41.05,46.44,100,0,18.03
havoysund,71.0,51.8,71,40,10.29
spasskoye,55.86,59.67,71,0,6.51
torbay,47.66,78.8,57,40,19.46
dunedin,-45.87,31.95,73,32,5.73
ahipara,-35.17,47.79,100,56,2.48
banda aceh,5.56,77.31,82,76,3.71
paraiso,24.01,75.2,47,20,2.24
amazar,53.86,60.3,92,80,3.71
hare bay,48.86,84.2,39,40,10.29
mayo,63.59,46.4,87,20,2.24
furth im wald,49.31,62.6,36,0,3.36
victoria,5.28,80.6,83,75,4.38
usinsk,66.0,50.13,90,0,6.96
yumen,40.29,63.18,60,32,12.77
olivenza,38.68,98.6,10,0,8.05
dauriya,49.93,61.83,82,76,1.92
bristol,51.45,63.68,100,90,17.22
male,50.74,69.93,42,0,6.51
kyzyl-suu,42.34,53.01,100,80,9.42
batagay-alyta,67.8,32.85,79,0,2.59
esil,51.96,55.35,98,92,7.96
veraval,49.65,67.39,60,90,14.99
zhigansk,66.77,50.31,79,64,3.71
chirilagua,13.22,90.9,77,0,5.5
ortakoy,38.74,82.4,20,0,9.17
fukue,35.03,82.4,78,20,10.29
imbituba,-28.24,59,54,0,14.99
camopi,3.17,93.6,42,24,2.15
bapatla,15.9,73.89,96,92,9.53
mao,19.55,89.64,52,20,12.75
botou,38.08,72.45,76,0,5.5
diu,20.71,75.6,98,92,10.65
manyana,-35.26,53.6,93,75,6.93
grindavik,63.84,51.8,66,75,2.24
normandin,48.84,66.2,93,90,11.41
zheleznovodsk,44.14,71.6,64,8,11.18
naze,5.43,82.4,78,20,4.7
polunochnoye,60.87,48.42,91,0,6.06
halifax,44.65,73.4,64,75,10.29
bridlington,54.08,57.2,100,75,14.99
altay,47.83,44.1,67,48,2.37
chiredzi,-21.05,75.96,37,0,9.64
pocone,-16.26,78.39,50,8,12.77
semnan,35.58,74.16,32,0,5.06
jiaohe,43.72,61.83,100,92,2.59
anchorage,61.22,52.36,100,90,6.93
straumen,63.87,51.8,71,20,2.48
camacha,33.08,72.61,68,40,12.75
hue,16.47,78.8,88,75,2.24
nicoya,10.15,87.8,58,40,13.87
pervomayskoye,57.07,51.57,89,0,2.93
cururupu,-1.82,83.61,89,44,7.63
inirida,3.87,82.98,74,64,2.48
amarillo,35.21,89.96,36,1,21.92
taoudenni,22.68,104.94,10,0,8.52
aksu,52.04,53.6,93,75,8.95
de-kastri,51.48,56.07,97,0,5.17
les cayes,18.19,82.98,96,12,14.12
tambacounda,13.77,91.4,63,75,4.7
pangnirtung,66.15,48.2,66,40,18.34
kupino,54.36,58.77,89,12,4.5
madras,44.63,65.25,39,1,8.05
denpasar,-8.65,77,83,20,9.17
namibe,-15.19,66.24,97,0,5.73
pierre,44.37,80.06,58,1,6.93
moree,-29.46,47.97,100,36,7.74
hervey bay,-25.3,59.31,100,0,11.77
kankaanpaa,61.8,53.6,87,80,5.82
shilovo,51.55,62.6,55,0,5.17
koupela,12.18,78.3,75,64,9.53
argos,37.64,74.07,74,12,2.48
porosozero,62.72,57.15,90,80,2.37
ajdabiya,30.75,84.69,48,0,11.65
palmer,61.6,52.39,100,90,6.93
vilhena,-12.74,75.2,47,0,12.75
mamallapuram,12.63,86,70,75,6.93
vestmannaeyjar,63.44,50,81,40,18.34
prince rupert,54.32,57.2,87,75,10.29
virginia beach,36.85,84.33,65,20,9.17
